grammatical phenomenon,model name,checkpoint,accuracy_v2,accuracy_v3,acc_diff,perplexity good_v2,perplexity good_v3,perp_good_diff,perplexity bad_v2,perplexity bad_v3,perp_bad_diff
adjunct_island,english,checkpoint-3000,0.625,0.593,-0.03200000000000003,2331.3466837890287,2473.659312141027,142.31262835199823,2636.8478922787012,2746.819539595699,109.97164731699786
adjunct_island,reverse_full,checkpoint-3000,0.725,0.722,-0.0030000000000000027,1332.9366998279625,1462.585550924457,129.64885109649458,1616.043306721423,1728.881364042405,112.83805732098199
adjunct_island,reverse_partial,checkpoint-3000,0.554,0.531,-0.02300000000000002,1142.004205215977,1226.2282178356963,84.22401261971936,1206.733779460011,1242.6039753012196,35.87019584120867
adjunct_island,shuffle_deterministic21,checkpoint-3000,0.729,0.723,-0.006000000000000005,3396.9192560288425,3533.3429623888633,136.4237063600208,4186.0696223505865,4463.62166613254,277.5520437819532
adjunct_island,shuffle_even_odd,checkpoint-3000,0.502,0.531,0.029000000000000026,3136.570651207401,3285.7303253739847,149.1596741665835,3200.672238354109,3459.2430580909163,258.57081973680715
adjunct_island,shuffle_local10,checkpoint-3000,0.697,0.669,-0.027999999999999914,1976.38478329331,2079.6023703393075,103.21758704599756,2535.9442282701543,2486.2841687999603,-49.66005947019403
adjunct_island,shuffle_local3,checkpoint-3000,0.632,0.609,-0.02300000000000002,1621.113484130124,1798.9276399695823,177.81415583945818,1957.077247590551,2090.064428733488,132.98718114293706
adjunct_island,shuffle_local5,checkpoint-3000,0.61,0.588,-0.02200000000000002,1450.373329829279,1520.9815740388235,70.60824420954441,1631.1029520534476,1638.673667882289,7.5707158288414576
adjunct_island,shuffle_nondeterministic,checkpoint-3000,0.507,0.484,-0.02300000000000002,5471.156487921756,5915.337167940405,444.1806800186496,5440.979105945209,5879.423098013392,438.4439920681825
anaphor_gender_agreement,english,checkpoint-3000,0.819,0.823,0.0040000000000000036,349.26623194799754,302.91724267217336,-46.34898927582418,537.1119884247242,456.2120705709389,-80.89991785378533
anaphor_gender_agreement,reverse_full,checkpoint-3000,0.86,0.847,-0.013000000000000012,611.2035756979312,532.2467000350886,-78.95687566284266,836.9303586164789,723.1541113359073,-113.77624728057162
anaphor_gender_agreement,reverse_partial,checkpoint-3000,0.853,0.86,0.007000000000000006,191.3556357094764,171.74218239058527,-19.613453318891118,256.42672965366586,234.00261665104605,-22.424113002619805
anaphor_gender_agreement,shuffle_deterministic21,checkpoint-3000,0.823,0.858,0.03500000000000003,808.0962391692514,715.128808345409,-92.96743082384239,1190.938813931587,1072.45813371054,-118.4806802210469
anaphor_gender_agreement,shuffle_even_odd,checkpoint-3000,0.837,0.847,0.010000000000000009,387.57336819056087,333.54293513869607,-54.030433051864804,634.7628312922626,545.4396021237462,-89.32322916851638
anaphor_gender_agreement,shuffle_local10,checkpoint-3000,0.721,0.736,0.015000000000000013,538.4927141785114,496.2085846205082,-42.2841295580032,646.6843169972452,598.0801976245441,-48.60411937270112
anaphor_gender_agreement,shuffle_local3,checkpoint-3000,0.85,0.879,0.029000000000000026,445.7682370109952,407.1414572770575,-38.626779733937724,644.0537639494096,614.2247790985688,-29.82898485084081
anaphor_gender_agreement,shuffle_local5,checkpoint-3000,0.717,0.741,0.02400000000000002,479.1566259169219,427.1935548069152,-51.963071110006695,607.411910350975,555.3704811109336,-52.04142924004134
anaphor_gender_agreement,shuffle_nondeterministic,checkpoint-3000,0.823,0.854,0.031000000000000028,2915.961188668959,2867.583583643238,-48.377605025721095,4025.19952693304,4017.5477656055273,-7.651761327512759
anaphor_number_agreement,english,checkpoint-3000,0.956,0.941,-0.015000000000000013,356.0359111354481,365.01860934843086,8.982698212982768,649.2698261761528,665.8435715470544,16.57374537090152
anaphor_number_agreement,reverse_full,checkpoint-3000,0.971,0.958,-0.013000000000000012,524.7947346765555,526.7772663087369,1.9825316321813489,840.0176771848636,851.6750785897171,11.657401404853545
anaphor_number_agreement,reverse_partial,checkpoint-3000,0.947,0.955,0.008000000000000007,201.41075991505505,197.5067403315664,-3.9040195834886617,296.6595612059369,296.35185932352914,-0.3077018824077413
anaphor_number_agreement,shuffle_deterministic21,checkpoint-3000,0.951,0.959,0.008000000000000007,786.0873512035811,755.5292450173849,-30.55810618619614,1279.7562325567003,1258.6589132601562,-21.09731929654413
anaphor_number_agreement,shuffle_even_odd,checkpoint-3000,0.964,0.953,-0.01100000000000001,420.2015415572864,411.3011416982153,-8.900399859071115,831.219518861731,796.3719454323111,-34.84757342941987
anaphor_number_agreement,shuffle_local10,checkpoint-3000,0.933,0.931,-0.0020000000000000018,550.8879164604925,509.0659648054865,-41.821951655006046,785.7308634491706,718.4950324079169,-67.23583104125362
anaphor_number_agreement,shuffle_local3,checkpoint-3000,0.97,0.966,-0.0040000000000000036,418.6092094004219,393.7894269328791,-24.81978246754278,734.8414470056771,703.8953099596475,-30.94613704602955
anaphor_number_agreement,shuffle_local5,checkpoint-3000,0.912,0.903,-0.009000000000000008,436.9965644563142,397.1523157057693,-39.84424875054492,655.7953408188695,598.3954829326575,-57.399857886211976
anaphor_number_agreement,shuffle_nondeterministic,checkpoint-3000,0.951,0.949,-0.0020000000000000018,2523.303395022639,2345.496023744481,-177.80737127815792,3848.456972520483,3580.608899103224,-267.848073417259
animate_subject_passive,english,checkpoint-3000,0.689,0.7095435684647303,0.020543568464730377,279.257330445486,274.42468552310567,-4.832644922380325,352.1729024345184,353.7690825628177,1.5961801282992951
animate_subject_passive,reverse_full,checkpoint-3000,0.738,0.7372060857538036,-0.0007939142461963478,301.22996149974216,300.21408703668266,-1.0158744630595038,389.03655839507314,392.630981492483,3.5944230974098446
animate_subject_passive,reverse_partial,checkpoint-3000,0.672,0.69432918395574,0.022329183955739906,171.57741740358767,169.83998131983188,-1.7374360837557958,206.34660285939552,206.20937188516896,-0.13723097422655428
animate_subject_passive,shuffle_deterministic21,checkpoint-3000,0.642,0.6583679114799447,0.016367911479944652,773.5583186889285,772.8808799069723,-0.677438781956198,894.3866254704772,912.0158527150776,17.62922724460043
animate_subject_passive,shuffle_even_odd,checkpoint-3000,0.651,0.6500691562932227,-0.0009308437067773179,361.16705405881817,363.46135982608416,2.294305767265996,429.0101750850489,436.0088260841416,6.9986509990927175
animate_subject_passive,shuffle_local10,checkpoint-3000,0.62,0.636237897648686,0.016237897648685995,543.0208213534382,536.3243052508797,-6.696516102558576,619.0023542947489,619.5151568733684,0.5128025786194712
animate_subject_passive,shuffle_local3,checkpoint-3000,0.707,0.7081604426002767,0.001160442600276701,290.6166486473911,286.32510739763273,-4.291541249758382,364.64770159768295,364.3866472246171,-0.26105437306586055
animate_subject_passive,shuffle_local5,checkpoint-3000,0.7,0.7053941908713693,0.0053941908713693865,322.4589636992095,313.2179159083223,-9.241047790887194,410.4485351951711,405.97300078308217,-4.475534412088905
animate_subject_passive,shuffle_nondeterministic,checkpoint-3000,0.591,0.6154910096818811,0.024491009681881115,1763.1655881065428,1737.363619453466,-25.801968653076756,1936.117009833932,1965.0653718578671,28.94836202393526
determiner_noun_agreement_with_adj_2,english,checkpoint-3000,0.924,0.924,0.0,959.9604107726316,959.9603485038608,-6.22687707618752e-05,1640.07219025182,1640.0720234091282,-0.000166842691896818
determiner_noun_agreement_with_adj_2,reverse_full,checkpoint-3000,0.948,0.948,0.0,1180.5817898835382,1180.581624922061,-0.0001649614771395136,1912.837826365021,1912.8377626582935,-6.370672758748697e-05
determiner_noun_agreement_with_adj_2,reverse_partial,checkpoint-3000,0.811,0.811,0.0,528.4361656695038,528.4361609109848,-4.758519025926944e-06,714.6265993544176,714.6266012340894,1.879671799542848e-06
determiner_noun_agreement_with_adj_2,shuffle_deterministic21,checkpoint-3000,0.549,0.549,0.0,2065.4703209530753,2065.4700810443624,-0.00023990871295609395,2341.435407350468,2341.4350700264117,-0.0003373240560904378
determiner_noun_agreement_with_adj_2,shuffle_even_odd,checkpoint-3000,0.809,0.809,0.0,1482.1621535751149,1482.1619927678978,-0.0001608072170711239,2229.254979612921,2229.2548167290433,-0.00016288387769236579
determiner_noun_agreement_with_adj_2,shuffle_local10,checkpoint-3000,0.64,0.64,0.0,1596.968889821968,1596.9686405559448,-0.0002492660232746857,1888.2580695987713,1888.257878237,-0.00019136177115797182
